time,posH,posV,errorH,errorV
85,111,20,43,-137
220,141,5,68,-193
356,141,5,1,-86
492,141,5,9,-19
627,141,5,1,-27
763,141,5,9,-18
898,141,5,3,-18
1033,141,5,30,-52
1168,141,5,1,-27
1305,141,5,6,-20
1440,141,5,10,-26
1575,141,5,14,-36
1711,141,5,-10,-12
1846,141,5,-6,-22
1981,141,5,2,-21
2117,141,5,1,-16
2253,141,5,8,-18
2388,141,5,12,-24
2523,141,5,16,-26
2659,141,5,17,-17
2794,141,5,12,-18
2930,141,5,5,-30
3066,141,5,1,-21
3201,141,5,10,-24
3336,141,5,6,-18
3471,141,5,6,-8
3608,141,5,12,-9
3743,141,5,12,-20
3878,141,5,4,-18
4014,141,5,6,-16
4149,141,5,2,-19
4284,141,5,-5,-7
4420,141,5,7,-20
4556,141,5,5,-19
4691,141,5,4,-15
4826,141,5,1,-15
4961,141,5,1,-19
5097,141,5,4,-14
5233,141,5,15,-36
5368,141,5,8,-28
5503,141,5,9,-17
5639,141,5,5,-23
5774,141,5,0,-16
5910,141,5,-6,-14
6046,141,5,-13,-6
6181,141,5,-1,-17
6316,141,5,7,-21
6451,141,5,10,-17
6587,141,5,11,-21
6723,141,5,6,-27
6858,141,5,-5,-9
6994,141,5,7,-22
7129,141,5,2,-10
7264,141,5,12,-22
7399,141,5,-5,-21
7536,141,5,0,-14
7671,141,5,12,-28
7806,141,5,-1,-7
7941,141,5,0,-18
8077,141,5,5,-29
8212,141,5,-2,-19
8348,141,5,12,-32
8484,141,5,-4,-15
8619,141,5,1,-23
8754,141,5,0,-23
8889,141,5,1,-20
9026,141,5,11,-23
9161,141,5,0,-14
9296,141,5,-3,-12
9432,141,5,-3,-21
9567,141,5,-5,-13
9702,141,5,9,-23
9838,141,5,7,-15
9974,141,5,-4,-2
10109,141,5,3,-13
10244,141,5,6,-26
10379,141,5,-4,-18
10515,141,5,-1,-17
10651,141,5,-7,-4
10786,141,5,-7,-13
10922,141,5,4,-21
11057,141,5,2,-24
11192,141,5,-7,-15
11329,141,5,5,-13
11464,141,5,10,-14
11599,141,5,10,-18
11735,141,5,6,-31
11870,141,5,10,-18
12005,141,5,-2,-18
12142,141,5,-1,-11
12277,141,5,-8,-14
12412,141,5,-9,-9
12548,141,5,8,-14
12683,141,5,-6,-7
12818,141,5,14,-34
12955,141,5,5,-21
13090,141,5,9,-26
13225,141,5,5,-11
13360,141,5,10,-26
13496,141,5,6,-22
