time,posH,posV,errorH,errorV
85,90,19,36,-142
220,130,5,80,-148
357,130,5,0,-103
492,130,5,6,-48
627,130,5,-11,-31
763,130,5,-20,-9
898,130,5,-9,-19
1033,130,5,-3,-21
1169,130,5,-4,-14
1305,130,5,3,-27
1440,130,5,-15,-14
1575,130,5,-19,-13
1711,130,5,4,-36
1846,130,5,-11,-15
1982,130,5,-24,-12
2117,130,5,-19,-5
2253,130,5,-17,-17
2388,130,5,-15,-17
2523,130,5,-1,-23
2660,130,5,6,-24
2795,130,5,-3,-27
2930,130,5,-15,-7
3066,130,5,-1,-27
3201,130,5,0,-22
3336,130,5,-1,-31
3472,130,5,-2,-22
3608,130,5,-8,-16
3743,130,5,5,-17
3878,130,5,3,-21
4013,130,5,-9,-13
4149,130,5,3,-25
4285,130,5,-17,-21
4420,130,5,-10,-13
4556,130,5,4,-14
4691,130,5,3,-27
4826,130,5,-16,-12
4961,130,5,-12,-16
5098,130,5,-4,-15
5233,130,5,-5,-27
5368,130,5,-6,-22
5503,130,5,-5,-27
5639,130,5,-16,-22
5775,130,5,-15,-16
5910,130,5,0,-30
6046,130,5,7,-22
6181,130,5,-13,-10
6316,130,5,-20,-8
6452,130,5,-4,-17
6588,130,5,3,-26
6723,130,5,-9,-13
6858,130,5,-9,-11
6994,130,5,-7,-13
7129,130,5,-9,-21
7264,130,5,-8,-12
7400,130,5,-16,-12
7536,130,5,-16,-19
7671,130,5,-16,-12
7806,130,5,2,-18
7942,130,5,6,-26
8078,130,5,-10,-14
8213,130,5,-9,-19
8349,130,5,-14,-10
8484,130,5,-6,-24
8619,130,5,-13,-23
8755,130,5,3,-15
8891,130,5,-5,-9
9026,130,5,-2,-24
9161,130,5,-14,-12
9297,130,5,-16,0
9432,130,5,-8,-16
9567,130,5,1,-20
9703,130,5,-8,-24
9839,130,5,9,-30
9974,130,5,-19,-8
10109,130,5,-1,-16
10245,130,5,-16,-10
10380,130,5,-14,-6
10516,130,5,-18,-19
10652,130,5,-9,-25
10787,130,5,3,-19
10922,130,5,-10,-16
11058,130,5,-3,-33
11194,130,5,-5,-25
11329,130,5,-16,-8
11465,130,5,-8,-10
11600,130,5,-21,5
11735,130,5,-7,-23
11871,130,5,-6,-5
12007,130,5,-11,-17
12142,130,5,-4,-18
12278,130,5,-15,-17
12413,130,5,-10,-12
12548,130,5,-12,-16
12684,130,5,-9,-13
12820,130,5,-12,-4
12955,130,5,-8,-18
13091,130,5,-10,-17
13226,130,5,-5,-18
13361,130,5,2,-22
13498,130,5,-19,-13
