time,posH,posV,errorH,errorV
85,90,84,36,-131
221,91,78,41,-133
356,93,71,57,-157
492,96,65,75,-135
627,99,60,83,-115
762,101,53,55,-155
899,102,47,46,-138
1034,102,42,37,-118
1170,102,37,20,-104
1305,102,33,11,-95
1441,102,29,7,-92
1577,102,25,2,-84
1712,102,22,-13,-63
1848,102,18,5,-81
1983,102,15,-6,-62
2119,102,12,-9,-59
2254,102,10,-14,-50
2390,102,8,-21,-45
2526,102,6,-16,-44
2661,102,5,-14,-43
2796,102,5,-25,-25
2932,100,5,-41,-30
3068,100,5,-21,-45
3203,100,5,-30,-36
3339,100,5,-26,-37
3474,100,5,-28,-38
3610,100,5,-17,-43
3745,100,5,-22,-42
3881,100,5,-22,-36
4017,100,5,-31,-33
4152,100,5,-22,-38
4287,100,5,-28,-31
4422,100,5,-31,-28
4558,100,5,-29,-29
4694,100,5,-25,-30
4829,100,5,-28,-27
4965,100,5,-26,-32
5100,100,5,-23,-35
5235,100,5,-19,-36
5372,100,5,-19,-28
5507,100,5,-28,-34
5642,100,5,-19,-37
5778,100,5,-28,-41
5913,100,5,-23,-33
6048,100,5,-25,-23
6185,100,5,-29,-29
6320,100,5,-18,-48
6455,100,5,-21,-36
6591,100,5,-27,-33
6726,100,5,-18,-44
6861,100,5,-30,-30
6998,100,5,-27,-28
7133,100,5,-33,-25
7268,100,5,-18,-34
7404,100,5,-35,-28
7539,100,5,-19,-42
7674,100,5,-17,-39
7811,100,5,-26,-34
7946,100,5,-24,-33
8081,100,5,-27,-35
8217,100,5,-25,-31
8352,100,5,-24,-34
8488,100,5,-25,-38
8624,100,5,-29,-33
8759,100,5,-26,-36
8894,100,5,-25,-39
9030,100,5,-32,-36
9165,100,5,-23,-37
9301,100,5,-23,-40
9437,100,5,-23,-30
9572,100,5,-20,-39
9707,100,5,-21,-41
9843,100,5,-20,-38
9978,100,5,-27,-39
10114,100,5,-27,-29
10250,100,5,-26,-33
10385,100,5,-35,-16
10520,100,5,-23,-33
10656,100,5,-31,-32
10792,100,5,-24,-38
10928,100,5,-23,-38
11063,100,5,-27,-23
11198,100,5,-22,-36
11334,100,5,-21,-39
11469,100,5,-22,-20
11605,100,5,-26,-32
11741,100,5,-21,-39
11876,100,5,-21,-32
12012,100,5,-36,-23
12147,100,5,-24,-38
12282,100,5,-28,-26
12419,100,5,-22,-38
12554,100,5,-18,-30
12689,100,5,-29,-32
12825,100,5,-24,-34
12960,100,5,-36,-20
13096,100,5,-16,-36
13232,100,5,-24,-35
13367,100,5,-27,-35
13503,100,5,-15,-33
