time,posH,posV,errorH,errorV
85,91,84,44,-136
220,92,78,49,-138
357,94,71,57,-149
492,99,67,124,-94
628,101,60,67,-158
763,104,54,77,-135
899,106,48,53,-142
1034,107,42,44,-129
1171,107,36,31,-120
1306,107,31,29,-115
1442,107,27,5,-87
1577,107,23,13,-88
1712,107,19,1,-79
1849,107,16,-6,-62
1984,107,12,5,-70
2119,107,9,-11,-47
2255,107,6,-1,-43
2390,107,5,-12,-42
2526,107,5,-12,-30
2662,107,5,-4,-35
2797,107,5,-8,-26
2932,107,5,0,-38
3068,107,5,-15,-27
3203,107,5,-10,-26
3338,107,5,-10,-34
3475,107,5,-2,-38
3610,107,5,-9,-34
3745,107,5,-13,-24
3881,107,5,-13,-31
4016,107,5,-11,-27
4152,107,5,-9,-29
4287,107,5,-10,-34
4423,107,5,-12,-16
4558,107,5,-16,-17
4693,107,5,-18,-28
4829,107,5,-2,-40
4965,107,5,-6,-28
5100,107,5,1,-39
5236,107,5,-12,-18
5371,107,5,-12,-22
5506,107,5,-8,-26
5642,107,5,-14,-20
5778,107,5,-11,-29
5913,107,5,-10,-27
6048,107,5,-9,-23
6184,107,5,-8,-28
6319,107,5,-7,-28
6455,107,5,-13,-19
6591,107,5,-2,-28
6726,107,5,-3,-31
6861,107,5,-13,-29
6997,107,5,-7,-22
7132,107,5,-13,-31
7268,107,5,-17,-19
7403,107,5,-8,-34
7539,107,5,-6,-26
7674,107,5,-6,-30
7809,107,5,-13,-25
7945,107,5,-11,-22
8081,107,5,4,-38
8216,107,5,-7,-21
8352,107,5,-18,-19
8487,107,5,-7,-19
8622,107,5,-3,-23
8757,107,5,-7,-22
8894,107,5,-16,-18
9029,107,5,-10,-23
9164,107,5,-6,-30
9300,107,5,-13,-29
9435,107,5,-2,-38
9571,107,5,-9,-23
9707,107,5,-3,-37
9842,107,5,-3,-32
9977,107,5,-7,-22
10112,107,5,-6,-32
10248,107,5,1,-35
10384,107,5,1,-35
10519,107,5,3,-33
10655,107,5,-10,-25
10790,107,5,-18,-20
10925,107,5,1,-29
11061,107,5,-12,-19
11197,107,5,1,-31
11332,107,5,-10,-19
11468,107,5,-11,-25
11603,107,5,5,-37
11738,107,5,2,-33
11875,107,5,-1,-26
12010,107,5,15,-42
12146,107,5,-1,-32
12281,107,5,-10,-21
12416,107,5,-7,-28
12552,107,5,-1,-29
12688,107,5,-10,-21
12823,107,5,-6,-22
12959,107,5,-9,-19
13094,107,5,-2,-27
13229,107,5,-9,-17
13365,107,5,-13,-11
13501,107,5,-9,-25
