time,posH,posV,errorH,errorV
85,92,82,45,-125
221,94,75,60,-143
356,96,68,65,-159
493,98,62,67,-150
628,100,55,60,-152
763,102,49,59,-145
899,103,44,43,-123
1034,104,38,42,-124
1170,104,34,22,-100
1306,104,29,18,-96
1442,104,24,18,-99
1577,104,20,6,-82
1713,104,17,-6,-72
1848,104,13,0,-72
1984,104,11,-11,-49
2120,104,11,-11,-39
2255,104,8,-9,-52
2391,104,5,-11,-47
2526,104,5,-20,-38
2661,104,5,-7,-46
2798,104,5,-14,-36
2933,104,5,-9,-43
3068,104,5,-16,-31
3204,104,5,-21,-29
3339,104,5,-32,-22
3474,104,5,-15,-36
3611,104,5,-13,-42
3746,104,5,-17,-29
3881,104,5,-20,-34
4017,104,5,-12,-42
4152,104,5,-14,-45
4288,104,5,-16,-34
4424,104,5,-17,-27
4559,104,5,-32,-25
4694,104,5,-28,-28
4830,104,5,-17,-28
4965,104,5,-23,-18
5101,104,5,-9,-35
5237,104,5,-14,-30
5372,104,5,-19,-29
5507,104,5,-25,-33
5643,104,5,-13,-39
5778,104,5,-21,-31
5914,104,5,-20,-28
6050,104,5,-29,-25
6185,104,5,-14,-28
6320,104,5,-19,-31
6456,104,5,-18,-26
6592,104,5,-16,-36
6727,104,5,-27,-43
6863,104,5,-15,-43
6998,104,5,-17,-31
7133,104,5,-12,-37
7269,104,5,-10,-42
7405,104,5,-22,-30
7540,104,5,-29,-26
7676,104,5,-27,-25
7811,104,5,-20,-34
7946,104,5,-20,-32
8082,104,5,-27,-29
8218,104,5,-17,-44
8353,104,5,-17,-37
8489,104,5,-12,-32
8624,104,5,-16,-32
8759,104,5,-23,-35
8896,104,5,-21,-33
9031,104,5,-20,-30
9166,104,5,-24,-28
9302,104,5,-30,-23
9437,104,5,-22,-34
9572,104,5,-12,-35
9709,104,5,-13,-30
9844,104,5,-19,-28
9979,104,5,-25,-25
10115,104,5,-20,-26
10250,104,5,-16,-32
10385,104,5,-21,-19
10522,104,5,-27,-31
10657,104,5,-11,-41
10792,104,5,-32,-24
10928,104,5,-18,-30
11063,104,5,-18,-33
11199,104,5,-18,-32
11335,104,5,-20,-38
11470,104,5,-34,-23
11606,104,5,-3,-42
11741,104,5,-22,-38
11876,104,5,-16,-33
12013,104,5,-17,-37
12148,104,5,-11,-35
12284,104,5,-24,-26
12419,104,5,-16,-31
12554,104,5,-14,-37
12690,104,5,-16,-34
12826,104,5,-20,-38
12961,104,5,-22,-36
13097,104,5,-24,-30
13232,104,5,-17,-30
13367,104,5,-33,-25
13504,104,5,-27,-22
